,test_file,test,base_time_min,base_time_mean,base_time_max,dynamo_time_min,dynamo_time_mean,dynamo_time_max,ratio
1021,test_set.py,TestUpdateOps.test_union_overlap,0.119,0.122,0.125,0.689,0.7055,0.716,5.782786885245902
634,test_set.py,TestBasicOpsTuple.test_empty_union,0.121,0.12175,0.123,0.69,0.704,0.713,5.7823408624229975
470,test_operator.py,PyOperatorTestCase.test_lshift,0.121,0.12175,0.122,0.699,0.704,0.715,5.7823408624229975
345,test_math.py,MathTests.test_math_dist_leak,0.116,0.11925,0.123,0.68,0.6895,0.701,5.781970649895179
983,test_set.py,TestSetSubclass.test_ixor,0.121,0.123,0.124,0.7,0.711,0.716,5.780487804878049
527,test_set.py,TestBasicOpsBytes.test_union_empty,0.122,0.12375,0.129,0.708,0.7152499999999999,0.723,5.779797979797979
916,test_set.py,TestOnlySetsTuple.test_difference_update,0.121,0.1225,0.123,0.694,0.708,0.715,5.779591836734694
731,test_set.py,TestCopyingTuple.test_copy,0.117,0.12,0.123,0.682,0.6935,0.707,5.779166666666667
544,test_set.py,TestBasicOpsEmpty.test_self_isdisjoint,0.117,0.121,0.124,0.684,0.6992499999999999,0.712,5.77892561983471
794,test_set.py,TestMethodsMutating_Set_List.test_isdisjoint_with_mutation,0.123,0.12325,0.124,0.706,0.7122499999999999,0.726,5.778904665314402
968,test_set.py,TestSetSubclass.test_clear,0.12,0.122,0.123,0.699,0.705,0.716,5.778688524590164
566,test_set.py,TestBasicOpsMixedStringBytes.test_union_empty,0.122,0.12275,0.123,0.707,0.7092499999999999,0.711,5.778004073319755
894,test_set.py,TestOnlySetsOperator.test_eq_ne,0.121,0.1215,0.123,0.692,0.702,0.712,5.777777777777778
586,test_set.py,TestBasicOpsSingleton.test_self_symmetric_difference,0.12,0.12075,0.122,0.686,0.6975,0.717,5.77639751552795
663,test_set.py,TestBinaryOps.test_union_non_overlap,0.122,0.12275,0.124,0.7,0.709,0.727,5.775967413441955
905,test_set.py,TestOnlySetsString.test_difference_update_operator,0.12,0.121,0.122,0.687,0.69875,0.709,5.774793388429752
459,test_operator.py,PyOperatorTestCase.test_ge,0.121,0.122,0.123,0.694,0.7044999999999999,0.713,5.774590163934426
1014,test_set.py,TestUpdateOps.test_sym_difference_method_call,0.119,0.12075,0.123,0.687,0.6972499999999999,0.707,5.774327122153209
992,test_set.py,TestSetSubclass.test_set_literal,0.121,0.12175,0.122,0.691,0.703,0.716,5.774127310061601
1052,test_contextlib.py,TestContextDecorator.test_typo_enter,0.119,0.1215,0.123,0.69,0.7015,0.712,5.77366255144033
631,test_set.py,TestBasicOpsTuple.test_empty_intersection,0.118,0.1215,0.123,0.689,0.7015,0.716,5.77366255144033
951,test_set.py,TestSet.test_rich_compare,0.12,0.12225,0.125,0.7,0.70575,0.717,5.773006134969325
900,test_set.py,TestOnlySetsOperator.test_sym_difference_update,0.117,0.12075,0.124,0.68,0.697,0.71,5.772256728778467
382,test_iter.py,TestCase.test_iter_function,0.121,0.12175,0.122,0.698,0.70275,0.711,5.772073921971253
320,test_math.py,MathTests.testFabs,0.119,0.122,0.125,0.697,0.704,0.713,5.770491803278689
909,test_set.py,TestOnlySetsString.test_intersection_update,0.122,0.12275,0.123,0.702,0.7082499999999999,0.714,5.7698574338085535
609,test_set.py,TestBasicOpsTriple.test_empty_difference,0.123,0.12375,0.125,0.704,0.71375,0.725,5.767676767676767
518,test_set.py,TestBasicOpsBytes.test_isdisjoint_empty,0.118,0.121,0.124,0.686,0.69775,0.709,5.766528925619835
993,test_set.py,TestSetSubclass.test_set_literal_evaluation_order,0.119,0.121,0.127,0.686,0.69775,0.709,5.766528925619835
1037,test_contextlib.py,ContextManagerTestCase.test_contextmanager_trap_yield_after_throw,0.12,0.1205,0.122,0.681,0.69475,0.701,5.765560165975104
548,test_set.py,TestBasicOpsMixedStringBytes.test_copy,0.119,0.122,0.124,0.686,0.70325,0.724,5.764344262295082
612,test_set.py,TestBasicOpsTriple.test_empty_isdisjoint,0.119,0.122,0.124,0.701,0.7032499999999999,0.707,5.764344262295081
569,test_set.py,TestBasicOpsSingleton.test_empty_difference_rev,0.119,0.1215,0.125,0.686,0.70025,0.714,5.763374485596708
969,test_set.py,TestSetSubclass.test_constructor_identity,0.118,0.12125,0.123,0.688,0.69875,0.71,5.762886597938144
474,test_operator.py,PyOperatorTestCase.test_mod,0.12,0.12125,0.123,0.688,0.69875,0.707,5.762886597938144
988,test_set.py,TestSetSubclass.test_remove_keyerror_set,0.118,0.121,0.123,0.696,0.6972499999999999,0.699,5.762396694214876
567,test_set.py,TestBasicOpsSingleton.test_copy,0.122,0.123,0.124,0.705,0.70875,0.712,5.76219512195122
976,test_set.py,TestSetSubclass.test_iand,0.12,0.12075,0.122,0.687,0.69575,0.718,5.761904761904762
151,test_ordered_dict.py,CPythonSubclassMappingTests.test_pop,0.117,0.119,0.123,0.678,0.6855,0.699,5.760504201680672
1004,test_set.py,TestUpdateOps.test_difference_method_call,0.117,0.122,0.124,0.684,0.70275,0.723,5.760245901639344
465,test_operator.py,PyOperatorTestCase.test_invert,0.121,0.122,0.123,0.693,0.70275,0.71,5.760245901639344
139,test_ordered_dict.py,CPythonOrderedDictTests.test_dict_update,0.119,0.12075,0.122,0.691,0.6955,0.697,5.759834368530021
743,test_set.py,TestFrozenSet.test_len,0.117,0.11825,0.119,0.673,0.681,0.702,5.758985200845666
879,test_set.py,TestOnlySetsNumeric.test_difference_update_operator,0.118,0.122,0.124,0.684,0.7025,0.719,5.758196721311475
597,test_set.py,TestBasicOpsString.test_intersection_empty,0.121,0.123,0.125,0.7,0.7082499999999999,0.72,5.758130081300813
857,test_set.py,TestMutate.test_update_unit_tuple_overlap,0.122,0.123,0.124,0.702,0.7082499999999999,0.716,5.758130081300813
870,test_set.py,TestOnlySetsDict.test_update,0.118,0.11975,0.121,0.672,0.6895,0.7,5.757828810020877
1042,test_contextlib.py,TestAbstractContextManager.test_enter,0.116,0.12075,0.124,0.679,0.6952499999999999,0.704,5.757763975155279
760,test_set.py,TestFrozenSetSubclass.test_init,0.119,0.12275,0.125,0.7,0.70675,0.716,5.757637474541752
1125,test_sys.py,SysModuleTest.test_43581,0.119,0.1205,0.122,0.676,0.69375,0.709,5.757261410788382
885,test_set.py,TestOnlySetsNumeric.test_sym_difference,0.117,0.1215,0.131,0.681,0.6995,0.726,5.757201646090535
1043,test_contextlib.py,TestAbstractContextManager.test_exit_is_abstract,0.118,0.12125,0.123,0.693,0.698,0.705,5.756701030927835
148,test_ordered_dict.py,CPythonSubclassMappingTests.test_items,0.122,0.12225,0.123,0.698,0.70375,0.71,5.7566462167689165
921,test_set.py,TestOnlySetsTuple.test_intersection_update,0.121,0.122,0.123,0.681,0.70225,0.716,5.756147540983607
568,test_set.py,TestBasicOpsSingleton.test_empty_difference,0.121,0.123,0.124,0.7,0.708,0.72,5.7560975609756095
510,test_set.py,TestBasicOpsBytes.test_empty_difference,0.121,0.12275,0.125,0.699,0.7064999999999999,0.717,5.755600814663951
1058,test_contextlib.py,TestExitStack.test_exit_exception_explicit_none_context,0.115,0.1185,0.122,0.671,0.682,0.696,5.755274261603376
600,test_set.py,TestBasicOpsString.test_length,0.122,0.1225,0.124,0.7,0.705,0.708,5.755102040816326
745,test_set.py,TestFrozenSet.test_setOfFrozensets,0.119,0.12125,0.122,0.69,0.69775,0.707,5.754639175257732
853,test_set.py,TestMutate.test_remove_present,0.122,0.123,0.124,0.699,0.70775,0.717,5.754065040650406
1123,test_sys.py,ActiveExceptionTests.test_sys_exception_with_exception_instance,0.117,0.11975,0.123,0.685,0.689,0.692,5.753653444676409
649,test_set.py,TestBasicOpsTuple.test_union_empty,0.119,0.12175,0.124,0.682,0.7005,0.726,5.753593429158111
845,test_set.py,TestMutate.test_add_absent,0.121,0.12275,0.124,0.696,0.7062499999999999,0.719,5.75356415478615
867,test_set.py,TestOnlySetsDict.test_sym_difference_update,0.12,0.1215,0.123,0.696,0.699,0.702,5.753086419753086
466,test_operator.py,PyOperatorTestCase.test_is,0.12,0.122,0.123,0.69,0.70175,0.713,5.752049180327869
871,test_set.py,TestOnlySetsDict.test_update_operator,0.12,0.12075,0.122,0.684,0.6945,0.704,5.751552795031056
1147,test_generators.py,GeneratorCloseTest.test_close_exhausted,0.12,0.12125,0.122,0.677,0.6965,0.712,5.7443298969072165
73,test_dict.py,DictTest.test_contains,0.121,0.122,0.123,0.689,0.7002499999999999,0.712,5.739754098360655
899,test_set.py,TestOnlySetsOperator.test_sym_difference,0.119,0.121,0.123,0.681,0.6945,0.707,5.739669421487603
558,test_set.py,TestBasicOpsMixedStringBytes.test_issue_37219,0.122,0.12275,0.124,0.702,0.7044999999999999,0.71,5.739307535641547
598,test_set.py,TestBasicOpsString.test_isdisjoint_empty,0.12,0.12075,0.121,0.688,0.693,0.701,5.739130434782608
911,test_set.py,TestOnlySetsString.test_sym_difference_update_operator,0.117,0.12175,0.126,0.684,0.6985,0.711,5.737166324435319
147,test_ordered_dict.py,CPythonSubclassMappingTests.test_getitem,0.117,0.12025,0.122,0.673,0.68975,0.705,5.735966735966736
971,test_set.py,TestSetSubclass.test_deepcopy,0.118,0.122,0.125,0.693,0.69975,0.704,5.735655737704918
70,test_dict.py,DictTest.test_clear,0.122,0.12375,0.125,0.689,0.70975,0.728,5.735353535353536
953,test_set.py,TestSet.test_set_literal,0.122,0.12275,0.123,0.697,0.704,0.71,5.735234215885947
1045,test_contextlib.py,TestAbstractContextManager.test_structural_subclassing,0.119,0.1215,0.123,0.691,0.69675,0.701,5.734567901234568
952,test_set.py,TestSet.test_setOfFrozensets,0.116,0.1195,0.121,0.667,0.68525,0.707,5.7343096234309625
949,test_set.py,TestSet.test_remove_keyerror_set,0.118,0.12025,0.123,0.673,0.6895,0.699,5.733887733887734
854,test_set.py,TestMutate.test_remove_until_empty,0.121,0.12275,0.124,0.7,0.70375,0.708,5.733197556008147
633,test_set.py,TestBasicOpsTuple.test_empty_symmetric_difference,0.118,0.1215,0.124,0.677,0.6965,0.721,5.732510288065844
146,test_ordered_dict.py,CPythonSubclassMappingTests.test_get,0.121,0.1215,0.123,0.685,0.6965,0.703,5.732510288065844
539,test_set.py,TestBasicOpsEmpty.test_length,0.121,0.122,0.123,0.695,0.6992499999999999,0.705,5.73155737704918
766,test_set.py,TestFrozenSetSubclass.test_setOfFrozensets,0.123,0.1235,0.124,0.703,0.70775,0.718,5.730769230769231
64,test_float.py,RoundTestCase.test_inf_nan_ndigits,0.12,0.1225,0.127,0.693,0.702,0.71,5.730612244897959
618,test_set.py,TestBasicOpsTriple.test_issue_37219,0.12,0.1225,0.126,0.694,0.702,0.708,5.730612244897959
910,test_set.py,TestOnlySetsString.test_intersection_update_operator,0.119,0.1215,0.123,0.689,0.6962499999999999,0.704,5.730452674897119
728,test_set.py,TestCopyingNested.test_copy,0.122,0.12325,0.126,0.688,0.7062499999999999,0.738,5.730223123732251
914,test_set.py,TestOnlySetsString.test_update_operator,0.118,0.121,0.123,0.683,0.6932499999999999,0.702,5.729338842975206
149,test_ordered_dict.py,CPythonSubclassMappingTests.test_keys,0.121,0.1215,0.123,0.681,0.696,0.715,5.728395061728395
449,test_operator.py,PyOperatorTestCase.test_bitwise_and,0.121,0.1225,0.123,0.687,0.7015,0.709,5.726530612244898
620,test_set.py,TestBasicOpsTriple.test_repr,0.119,0.1205,0.122,0.679,0.69,0.706,5.726141078838174
727,test_set.py,TestCopyingEmpty.test_copy,0.12,0.12125,0.123,0.684,0.69425,0.711,5.725773195876289
1015,test_set.py,TestUpdateOps.test_sym_difference_non_overlap,0.121,0.1225,0.124,0.684,0.7012499999999999,0.716,5.724489795918367
579,test_set.py,TestBasicOpsSingleton.test_length,0.119,0.1205,0.122,0.682,0.68975,0.697,5.724066390041494
1011,test_set.py,TestUpdateOps.test_intersection_overlap,0.121,0.123,0.125,0.69,0.704,0.712,5.723577235772358
859,test_set.py,TestOnlySetsDict.test_difference_update,0.121,0.123,0.126,0.702,0.704,0.706,5.723577235772358
1160,test_generators.py,GeneratorThrowTest.test_throw_after_none_exc_type,0.121,0.122,0.124,0.693,0.6982499999999999,0.705,5.723360655737705
79,test_dict.py,DictTest.test_empty_presized_dict_in_freelist,0.12,0.122,0.124,0.69,0.698,0.705,5.721311475409836
886,test_set.py,TestOnlySetsNumeric.test_sym_difference_update,0.122,0.1225,0.124,0.689,0.70075,0.712,5.720408163265306
1173,test_list.py,ListTest.test_contains,0.117,0.11775,0.119,0.67,0.6735,0.68,5.719745222929936
143,test_ordered_dict.py,CPythonOrderedDictTests.test_reinsert,0.121,0.12475,0.133,0.706,0.7135,0.718,5.719438877755511
613,test_set.py,TestBasicOpsTriple.test_empty_symmetric_difference,0.118,0.1235,0.13,0.702,0.7062499999999999,0.711,5.718623481781376
136,test_ordered_dict.py,CPythonOrderedDictTests.test_dict_clear,0.118,0.12075,0.123,0.675,0.6905,0.702,5.7184265010351965
1049,test_contextlib.py,TestContextDecorator.test_decorating_method,0.12,0.12125,0.123,0.673,0.6932499999999999,0.712,5.717525773195876
890,test_set.py,TestOnlySetsNumeric.test_update_operator,0.118,0.11975,0.123,0.667,0.6845,0.699,5.716075156576201
1124,test_sys.py,ActiveExceptionTests.test_sys_exception_with_exception_type,0.121,0.1215,0.122,0.676,0.6945,0.735,5.71604938271605
985,test_set.py,TestSetSubclass.test_len,0.121,0.12225,0.123,0.695,0.69875,0.703,5.715746421267894
884,test_set.py,TestOnlySetsNumeric.test_intersection_update_operator,0.117,0.121,0.123,0.685,0.6915,0.702,5.714876033057852
1060,test_contextlib.py,TestExitStack.test_push,0.119,0.12075,0.125,0.674,0.69,0.704,5.714285714285714
1050,test_contextlib.py,TestContextDecorator.test_decorator,0.122,0.1225,0.123,0.696,0.7,0.705,5.714285714285714
1051,test_contextlib.py,TestContextDecorator.test_instance_docs,0.121,0.12225,0.124,0.683,0.69825,0.709,5.711656441717792
660,test_set.py,TestBinaryOps.test_sym_difference_overlap,0.121,0.1225,0.123,0.68,0.6995,0.708,5.710204081632654
617,test_set.py,TestBasicOpsTriple.test_isdisjoint_empty,0.118,0.1205,0.122,0.676,0.688,0.701,5.70954356846473
642,test_set.py,TestBasicOpsTuple.test_repr,0.117,0.12125,0.124,0.68,0.692,0.7,5.707216494845361
1056,test_contextlib.py,TestExitStack.test_enter_context_errors,0.119,0.122,0.124,0.678,0.69625,0.713,5.706967213114755
535,test_set.py,TestBasicOpsEmpty.test_equivalent_equality,0.122,0.122,0.122,0.693,0.6962499999999999,0.699,5.706967213114754
641,test_set.py,TestBasicOpsTuple.test_not_in,0.121,0.12325,0.125,0.697,0.7032499999999999,0.706,5.705882352941176
624,test_set.py,TestBasicOpsTriple.test_self_isdisjoint,0.119,0.1215,0.124,0.685,0.6932499999999999,0.701,5.705761316872428
792,test_set.py,TestMethodsMutating_Set_List.test_intersection_update_with_mutation,0.124,0.12475,0.125,0.705,0.71175,0.716,5.705410821643286
875,test_set.py,TestOnlySetsGenerator.test_sym_difference_update_operator,0.116,0.11925,0.123,0.671,0.68025,0.696,5.704402515723271
1008,test_set.py,TestUpdateOps.test_difference_superset,0.122,0.12225,0.123,0.682,0.6972499999999999,0.714,5.703476482617586
1054,test_contextlib.py,TestExitStack.test_dont_reraise_RuntimeError,0.116,0.12175,0.127,0.688,0.6942499999999999,0.706,5.702258726899384
1087,test_collections.py,TestCounter.test_eq,0.119,0.122,0.126,0.686,0.6955,0.712,5.700819672131148
571,test_set.py,TestBasicOpsSingleton.test_empty_isdisjoint,0.121,0.12225,0.123,0.679,0.69675,0.713,5.699386503067484
997,test_set.py,TestSetSubclass.test_subclass_with_custom_hash,0.117,0.121,0.123,0.688,0.6895,0.691,5.698347107438017
945,test_set.py,TestSet.test_ixor,0.119,0.121,0.123,0.679,0.6895,0.714,5.698347107438017
748,test_set.py,TestFrozenSet.test_subclass_with_custom_hash,0.122,0.12225,0.123,0.685,0.6965,0.705,5.697341513292434
545,test_set.py,TestBasicOpsEmpty.test_self_symmetric_difference,0.118,0.12075,0.123,0.683,0.68775,0.693,5.695652173913043
557,test_set.py,TestBasicOpsMixedStringBytes.test_isdisjoint_empty,0.12,0.122,0.124,0.693,0.69475,0.696,5.694672131147541
1044,test_contextlib.py,TestAbstractContextManager.test_slots,0.121,0.12275,0.124,0.692,0.699,0.715,5.694501018329938
630,test_set.py,TestBasicOpsTuple.test_empty_difference_rev,0.122,0.1225,0.123,0.688,0.6975,0.708,5.6938775510204085
552,test_set.py,TestBasicOpsMixedStringBytes.test_empty_isdisjoint,0.12,0.12175,0.123,0.686,0.693,0.697,5.691991786447638
655,test_set.py,TestBinaryOps.test_isdisjoint_non_overlap,0.121,0.12175,0.124,0.676,0.69275,0.702,5.689938398357289
513,test_set.py,TestBasicOpsBytes.test_empty_isdisjoint,0.119,0.121,0.123,0.682,0.68825,0.696,5.68801652892562
737,test_set.py,TestFrozenSet.test_deepcopy,0.12,0.12125,0.123,0.674,0.6895,0.699,5.68659793814433
990,test_set.py,TestSetSubclass.test_rich_compare,0.121,0.122,0.123,0.688,0.69375,0.698,5.686475409836065
114,test_ordered_dict.py,CPythonBuiltinDictTests.test_abc,0.117,0.1205,0.123,0.667,0.685,0.702,5.6846473029045645
589,test_set.py,TestBasicOpsString.test_copy,0.119,0.121,0.122,0.683,0.6877500000000001,0.696,5.683884297520662
984,test_set.py,TestSetSubclass.test_keywords_in_subclass,0.122,0.12325,0.124,0.698,0.7004999999999999,0.706,5.683569979716023
1007,test_set.py,TestUpdateOps.test_difference_subset,0.121,0.122,0.123,0.681,0.69325,0.718,5.682377049180328
866,test_set.py,TestOnlySetsDict.test_sym_difference,0.122,0.1225,0.123,0.679,0.696,0.714,5.681632653061224
718,test_set.py,TestBinaryOpsMutating_Subclass_Subclass.test_isub_with_mutation,0.125,0.12525,0.126,0.708,0.7115,0.715,5.680638722554891
1151,test_generators.py,GeneratorCloseTest.test_close_raises,0.119,0.1205,0.122,0.679,0.6845,0.69,5.680497925311204
128,test_ordered_dict.py,CPythonGeneralMappingTests.test_values,0.12,0.12175,0.123,0.679,0.6915,0.699,5.6796714579055445
650,test_set.py,TestBinaryOps.test_eq,0.121,0.12325,0.125,0.679,0.7,0.722,5.679513184584178
1136,test_sys.py,SysModuleTest.test_thread_info,0.122,0.123,0.125,0.684,0.6985,0.711,5.678861788617886
632,test_set.py,TestBasicOpsTuple.test_empty_isdisjoint,0.118,0.12175,0.124,0.688,0.6912499999999999,0.694,5.677618069815194
1092,test_collections.py,TestCounter.test_le,0.121,0.12325,0.127,0.695,0.69975,0.703,5.677484787018256
958,test_set.py,TestSet.test_subclass_with_custom_hash,0.12,0.1215,0.123,0.675,0.68975,0.703,5.676954732510288
585,test_set.py,TestBasicOpsSingleton.test_self_isdisjoint,0.12,0.122,0.123,0.682,0.6925,0.703,5.676229508196721
1168,test_list.py,ListTest.test_append,0.121,0.122,0.123,0.689,0.6924999999999999,0.696,5.6762295081967205
540,test_set.py,TestBasicOpsEmpty.test_repr,0.122,0.1225,0.123,0.691,0.6952499999999999,0.7,5.6755102040816325
144,test_ordered_dict.py,CPythonOrderedDictTests.test_setitem,0.12,0.12075,0.123,0.676,0.68525,0.704,5.674948240165632
852,test_set.py,TestMutate.test_remove_absent,0.121,0.1215,0.122,0.688,0.6895,0.692,5.674897119341564
636,test_set.py,TestBasicOpsTuple.test_in,0.12,0.1215,0.124,0.679,0.6895,0.71,5.674897119341564
892,test_set.py,TestOnlySetsOperator.test_difference_update,0.122,0.12225,0.123,0.686,0.69375,0.7,5.674846625766871
730,test_set.py,TestCopyingTriple.test_copy,0.121,0.122,0.124,0.685,0.69225,0.707,5.674180327868853
955,test_set.py,TestSet.test_set_literal_insertion_order,0.119,0.122,0.124,0.676,0.69225,0.703,5.674180327868853
159,test_ordered_dict.py,PurePythonSubclassMappingTests.test_getitem,0.121,0.122,0.123,0.689,0.6922499999999999,0.696,5.674180327868852
797,test_set.py,TestMethodsMutating_Set_List.test_symmetric_difference_update_with_mutation,0.124,0.12575,0.127,0.706,0.7132499999999999,0.719,5.67196819085487
741,test_set.py,TestFrozenSet.test_init,0.118,0.122,0.127,0.67,0.69175,0.699,5.670081967213115
120,test_ordered_dict.py,CPythonGeneralMappingTests.test_getitem,0.12,0.1215,0.123,0.67,0.68875,0.697,5.668724279835391
575,test_set.py,TestBasicOpsSingleton.test_in,0.12,0.12275,0.124,0.688,0.69575,0.701,5.6680244399185336
946,test_set.py,TestSet.test_len,0.122,0.12275,0.123,0.683,0.69575,0.715,5.6680244399185336
759,test_set.py,TestFrozenSetSubclass.test_gc,0.12,0.12325,0.125,0.68,0.6985,0.709,5.667342799188641
889,test_set.py,TestOnlySetsNumeric.test_update,0.122,0.124,0.128,0.693,0.70275,0.709,5.667338709677419
698,test_set.py,TestBinaryOpsMutating_Subclass_Set.test_eq_with_mutation,0.123,0.12475,0.127,0.693,0.707,0.719,5.667334669338677
795,test_set.py,TestMethodsMutating_Set_List.test_issubset_with_mutation,0.122,0.1245,0.126,0.683,0.7055,0.719,5.666666666666667
868,test_set.py,TestOnlySetsDict.test_sym_difference_update_operator,0.12,0.12275,0.125,0.694,0.6955,0.698,5.665987780040734
860,test_set.py,TestOnlySetsDict.test_difference_update_operator,0.122,0.12275,0.124,0.692,0.6955,0.701,5.665987780040734
593,test_set.py,TestBasicOpsString.test_empty_isdisjoint,0.121,0.12325,0.126,0.683,0.69825,0.711,5.665314401622719
754,test_set.py,TestFrozenSetSubclass.test_constructor_identity,0.12,0.12175,0.124,0.676,0.68975,0.708,5.6652977412731005
640,test_set.py,TestBasicOpsTuple.test_length,0.121,0.12225,0.123,0.674,0.69225,0.705,5.662576687116565
872,test_set.py,TestOnlySetsGenerator.test_difference_update_operator,0.12,0.1215,0.124,0.675,0.6877500000000001,0.704,5.660493827160495
901,test_set.py,TestOnlySetsOperator.test_sym_difference_update_operator,0.122,0.12275,0.124,0.688,0.69475,0.702,5.659877800407332
942,test_set.py,TestSet.test_ior,0.121,0.1225,0.124,0.688,0.6932499999999999,0.699,5.659183673469387
1059,test_contextlib.py,TestExitStack.test_instance_bypass,0.121,0.123,0.127,0.688,0.69575,0.705,5.65650406504065
371,test_iter.py,TestCase.test_exception_function,0.12,0.1215,0.123,0.68,0.6872499999999999,0.691,5.656378600823045
138,test_ordered_dict.py,CPythonOrderedDictTests.test_dict_setitem,0.118,0.12225,0.125,0.672,0.6912499999999999,0.702,5.654396728016359
580,test_set.py,TestBasicOpsSingleton.test_not_in,0.121,0.1215,0.122,0.682,0.68675,0.694,5.652263374485597
924,test_set.py,TestOnlySetsTuple.test_sym_difference_update,0.12,0.1215,0.123,0.683,0.68675,0.691,5.652263374485597
801,test_set.py,TestMethodsMutating_Set_Set.test_difference_update_with_mutation,0.125,0.1265,0.129,0.704,0.715,0.732,5.652173913043478
122,test_ordered_dict.py,CPythonGeneralMappingTests.test_keys,0.122,0.123,0.124,0.691,0.695,0.698,5.650406504065041
898,test_set.py,TestOnlySetsOperator.test_intersection_update_operator,0.119,0.1215,0.123,0.68,0.6865,0.699,5.650205761316872
865,test_set.py,TestOnlySetsDict.test_intersection_update_operator,0.119,0.12125,0.124,0.67,0.685,0.704,5.649484536082475
121,test_ordered_dict.py,CPythonGeneralMappingTests.test_items,0.122,0.123,0.124,0.681,0.6945,0.706,5.646341463414634
1047,test_contextlib.py,TestContextDecorator.test_contextdecorator_as_mixin,0.122,0.123,0.124,0.688,0.6944999999999999,0.701,5.646341463414633
733,test_set.py,TestExceptionPropagation.test_instancesWithoutException,0.12,0.122,0.123,0.677,0.68875,0.699,5.645491803278689
1121,test_sys.py,ActiveExceptionTests.test_exc_info_with_exception_type,0.117,0.1205,0.122,0.667,0.68025,0.701,5.645228215767635
762,test_set.py,TestFrozenSetSubclass.test_keywords_in_subclass,0.123,0.12325,0.124,0.683,0.69575,0.71,5.645030425963489
638,test_set.py,TestBasicOpsTuple.test_isdisjoint_empty,0.122,0.12325,0.124,0.689,0.69575,0.71,5.645030425963489
822,test_set.py,TestMethodsMutating_Set_Subclass.test_update_with_mutation,0.123,0.126,0.129,0.703,0.7112499999999999,0.719,5.644841269841269
543,test_set.py,TestBasicOpsEmpty.test_self_intersection,0.122,0.12325,0.125,0.676,0.6955,0.722,5.643002028397566
848,test_set.py,TestMutate.test_clear,0.118,0.12175,0.125,0.676,0.687,0.699,5.642710472279261
913,test_set.py,TestOnlySetsString.test_update,0.12,0.12225,0.124,0.67,0.68975,0.698,5.642126789366053
893,test_set.py,TestOnlySetsOperator.test_difference_update_operator,0.121,0.1225,0.124,0.678,0.691,0.699,5.640816326530612
154,test_ordered_dict.py,CPythonSubclassMappingTests.test_values,0.119,0.121,0.123,0.669,0.682,0.699,5.636363636363637
796,test_set.py,TestMethodsMutating_Set_List.test_issuperset_with_mutation,0.121,0.12575,0.128,0.705,0.70875,0.716,5.636182902584493
658,test_set.py,TestBinaryOps.test_isdisjoint_superset,0.122,0.12275,0.124,0.681,0.69175,0.709,5.635437881873727
715,test_set.py,TestBinaryOpsMutating_Subclass_Subclass.test_gt_with_mutation,0.124,0.12675,0.131,0.701,0.714,0.719,5.633136094674556
831,test_set.py,TestMethodsMutating_Subclass_Set.test_symmetric_difference_with_mutation,0.125,0.12675,0.129,0.705,0.714,0.719,5.633136094674556
805,test_set.py,TestMethodsMutating_Set_Set.test_isdisjoint_with_mutation,0.124,0.1265,0.13,0.698,0.7124999999999999,0.735,5.632411067193675
798,test_set.py,TestMethodsMutating_Set_List.test_symmetric_difference_with_mutation,0.124,0.12575,0.127,0.699,0.7082499999999999,0.723,5.632206759443339
130,test_ordered_dict.py,CPythonOrderedDictSubclassTests.test_abc,0.123,0.123,0.123,0.682,0.69275,0.699,5.632113821138211
928,test_set.py,TestOnlySetsTuple.test_update_operator,0.121,0.12275,0.124,0.684,0.69125,0.699,5.631364562118127
563,test_set.py,TestBasicOpsMixedStringBytes.test_self_isdisjoint,0.122,0.124,0.126,0.693,0.6982499999999999,0.703,5.631048387096774
1046,test_contextlib.py,TestContextDecorator.test_contextdecorator,0.121,0.1225,0.124,0.681,0.68975,0.703,5.630612244897959
922,test_set.py,TestOnlySetsTuple.test_intersection_update_operator,0.12,0.1215,0.123,0.68,0.684,0.691,5.62962962962963
987,test_set.py,TestSetSubclass.test_pop,0.121,0.122,0.123,0.681,0.68675,0.696,5.629098360655737
137,test_ordered_dict.py,CPythonOrderedDictTests.test_dict_setdefault,0.118,0.1215,0.125,0.67,0.68375,0.698,5.627572016460905
707,test_set.py,TestBinaryOpsMutating_Subclass_Set.test_lt_with_mutation,0.127,0.1275,0.128,0.704,0.7175,0.724,5.627450980392157
827,test_set.py,TestMethodsMutating_Subclass_Set.test_isdisjoint_with_mutation,0.126,0.12875,0.13,0.717,0.7244999999999999,0.732,5.627184466019417
763,test_set.py,TestFrozenSetSubclass.test_len,0.121,0.122,0.123,0.683,0.6865,0.696,5.627049180327869
118,test_ordered_dict.py,CPythonGeneralMappingTests.test_constructor,0.119,0.121,0.123,0.662,0.68075,0.699,5.62603305785124
692,test_set.py,TestBinaryOpsMutating_Set_Subclass.test_lt_with_mutation,0.125,0.12675,0.129,0.707,0.713,0.723,5.625246548323471
127,test_ordered_dict.py,CPythonGeneralMappingTests.test_setdefault,0.121,0.12175,0.123,0.679,0.68475,0.695,5.624229979466119
836,test_set.py,TestMethodsMutating_Subclass_Subclass.test_intersection_update_with_mutation,0.126,0.128,0.13,0.713,0.7195,0.723,5.62109375
740,test_set.py,TestFrozenSet.test_gc,0.121,0.1225,0.123,0.687,0.68825,0.69,5.618367346938776
1041,test_contextlib.py,NullcontextTestCase.test_nullcontext,0.122,0.123,0.124,0.683,0.691,0.698,5.617886178861788
